FuncName,FetchState,StdDev,InstallWS,StdDev,ServeUnique,StdDev,Total,StdDev
helloworld,320345,NaN,4478,NaN,7947,NaN,332770,NaN
helloworld,192252,NaN,4552,NaN,993,NaN,197797,NaN
helloworld,83586,NaN,4548,NaN,7962,NaN,96096,NaN
helloworld,69580,NaN,4456,NaN,1397,NaN,75433,NaN
helloworld,166440,116332.4,4508,48.8,4574,3906.1,175524,117685.2
helloworld,287562,NaN,4547,NaN,6939,NaN,299048,NaN
helloworld,269405,NaN,4596,NaN,936,NaN,274937,NaN
helloworld,184248,NaN,4640,NaN,6303,NaN,195191,NaN
helloworld,101376,NaN,4644,NaN,671,NaN,106691,NaN
helloworld,210647,85645.5,4606,45.4,3712,3370.5,218966,87018.8
helloworld,255569,NaN,4632,NaN,10387,NaN,270588,NaN
helloworld,160633,NaN,4417,NaN,4386,NaN,169436,NaN
helloworld,84579,NaN,4635,NaN,6912,NaN,96126,NaN
helloworld,117381,NaN,4460,NaN,2178,NaN,124019,NaN
helloworld,154540,74205.4,4536,114.0,5965,3525.4,165042,76575.8
helloworld,312903,NaN,4559,NaN,5692,NaN,323154,NaN
helloworld,301238,NaN,4843,NaN,1185,NaN,307266,NaN
helloworld,159638,NaN,4613,NaN,5549,NaN,169800,NaN
helloworld,119612,NaN,4575,NaN,2499,NaN,126686,NaN
helloworld,223347,98161.6,4647,132.3,3731,2247.3,231726,98206.6
